Event ID,Event Date,Event Text,Story ID,City,District,Province,Latitude,Longitude,Year,municipality
37534934,2023-01-03,Demonstrate or rally,56612931,Samara,,Samarskaya Oblast',53.2001,50.15,2023,"Чернореченская улица, 67, Самара, 443013"
37571701,2022-10-18,Demonstrate or rally,56698583,,,North Ossetia,43.0,44.25,2022,"Государственный природный заказник Цейский, Алагирский район, Республика Северная Осетия — Алания"
37622281,2023-02-02,Demonstrate or rally,56805909,Volgograd,,Volgogradskaya Oblast',48.7194,44.5018,2023,"Черноморская улица, 42, Волгоград, 400012"
37634619,2023-02-08,Demonstrate or rally,56833395,Khabarovsk,Khabarovskiy Rayon,Khabarovskiy Kray,48.4827,135.084,2023,"парк Динамо, Хабаровск"
37640304,2023-02-10,Demonstrate or rally,56844966,Khabarovsk,Khabarovskiy Rayon,Khabarovskiy Kray,48.4827,135.084,2023,"парк Динамо, Хабаровск"
37634619,2023-02-08,Demonstrate or rally,56833395,Khabarovsk,Khabarovskiy Rayon,Khabarovskiy Kray,48.4827,135.084,2023,"парк Динамо, Хабаровск"
37640304,2023-02-10,Demonstrate or rally,56844966,Khabarovsk,Khabarovskiy Rayon,Khabarovskiy Kray,48.4827,135.084,2023,"парк Динамо, Хабаровск"
37710825,2023-03-12,Demonstrate or rally,56993240,Mechta,,Bryanskaya Oblast',52.33,34.5924,2023,"Игрицкое сельское поселение, Комаричский район, Брянская область"
37710826,2023-03-12,Demonstrate or rally,56993240,Mechta,,Bryanskaya Oblast',52.33,34.5924,2023,"Игрицкое сельское поселение, Комаричский район, Брянская область"
927042,1995-01-05,Demonstrate or rally,28237655,,,Chechenskaya Respublika,43.25,45.8333,1995,"село Бердыкель, городской округ Аргун, Чеченская Республика"
927061,1995-01-05,Demonstrate or rally,28238287,,,Chechenskaya Respublika,43.25,45.8333,1995,"село Бердыкель, городской округ Аргун, Чеченская Республика"
2548052,1995-04-13,Demonstrate or rally,28215547,Nazran',,Respublika Ingushetiya,43.226,44.7732,1995,"Кавказская улица, 17, Назрань, Республика Ингушетия"
2548349,1995-06-17,Demonstrate or rally,28896884,Budennovsk,,Stavropol'skiy Kray,44.7839,44.1658,1995,"Будённовск, Ставропольский край"
969969,1995-06-20,Demonstrate or rally,28896914,Budennovsk,,Stavropol'skiy Kray,44.7839,44.1658,1995,"Будённовск, Ставропольский край"
