municipality,oktmo,Процент (рус),region_name,year,Жилье (1000 м2),Дороги (%),Канализация (1 м),Водопровод (1 метр),active_percent,city_percent,value,value_region,Event Text,Latitude,Longitude
Абазинский,91601000,0.0,Карачаево-Черкесская,2013.0,0.0,40.14,0.0,0.0,45.329955832683815,0.0,1062858.6,14203.32589500359,Criticize or denounce,44.2331,42.0183
Абакан,95701000,79.59480159502043,Хакасия,2009.0,2.79,0.0,400.0,860.0,0.0,0.0,0.0,10706.0,Criticize or denounce,53.7156,91.4292
Абакан,95701000,79.59480159502043,Хакасия,2021.0,0.0,79.2,0.0,880.0,50.2291333814579,100.0,0.0,25849.47855491632,"Defy norms, law",53.7156,91.4292
Агрызский,92601000,25.197968434274483,Татарстан,2010.0,29.7,81.74,0.0,0.0,0.0,0.0,0.0,18424.0,Criticize or denounce,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2010.0,29.7,81.74,0.0,0.0,0.0,0.0,0.0,18424.0,Criticize or denounce,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2010.0,29.7,81.74,0.0,0.0,0.0,0.0,0.0,18424.0,Criticize or denounce,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2010.0,29.7,81.74,0.0,0.0,0.0,0.0,0.0,18424.0,Criticize or denounce,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Criticize or denounce,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Demonstrate or rally,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Demonstrate or rally,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Criticize or denounce,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Demonstrate or rally,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Criticize or denounce,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Demonstrate or rally,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Demonstrate or rally,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2012.0,29.0,84.09,0.0,0.0,37.18586704955974,54.73535138962649,4810534.0,23914.681137743068,Demonstrate or rally,56.1292,53.3703
Агрызский,92601000,25.197968434274483,Татарстан,2017.0,0.0,56.1,0.0,4900.0,42.41683454020798,56.83290684379594,0.0,31886.504455829727,Criticize or denounce,56.1292,53.3703
